540 162   configurations maxatom
   H    4.11533084E-01   -4.31362171E+00    1.16050235E+00
   O   -2.86659740E+00   -3.93440639E+00   -5.23772515E-01
   H   -2.95699474E+00   -3.32861617E+00    2.22077739E-01
   H   -2.61545368E+00   -3.36469533E+00   -1.26120511E+00
15    -35.835300    1736.9976    nw1_s1000_w21
   C    6.35059877E-01    5.27928361E-01    3.63661329E-01
   H    5.74503202E-01    5.84199051E-01    1.45612021E+00
   H    1.69426246E+00    5.21441083E-01    7.68036998E-02
   H    2.13395814E-01    1.48321473E+00   -2.84942071E-02
   C   -1.20448898E-01   -6.29571351E-01   -2.15203232E-01
   O   -9.83611225E-01   -5.13061178E-01   -1.08266519E+00
   N    2.09620841E-01   -1.88227523E+00    2.89046828E-01
   H    9.19055617E-01   -2.00782950E+00    9.98783403E-01
   C   -4.58133948E-01   -3.10331420E+00   -2.04456646E-01
   H   -9.85386440E-01   -3.61927497E+00    6.14521763E-01
   H   -1.20763494E+00   -2.84655889E+00   -9.81913101E-01
   H    2.72128287E-01   -3.79422534E+00   -6.56562897E-01
   O   -1.24755094E+00    2.17425887E+00   -1.44373811E+00
   H   -1.16315238E+00    1.24452247E+00   -1.73754752E+00
   H   -2.14170279E+00    2.26783343E+00   -1.13998476E+00
15    -9.650000    1763.1829    nw1_s1000_w23
   C   -6.74471990E-01   -6.91048095E-01    7.02873592E-01
   H   -9.88082678E-01   -1.05835533E+00    1.69153933E+00
   H    1.41721797E-01    2.97881282E-02    8.55251144E-01
   H   -1.51492296E+00   -1.28973274E-01    2.70774032E-01
   C   -2.35131766E-01   -1.76892557E+00   -2.49609988E-01
   O    1.46259168E-01   -1.54868635E+00   -1.39026477E+00
   N   -2.89297348E-01   -3.06567893E+00    2.55918519E-01
   H   -6.05342459E-01   -3.26233038E+00    1.20499364E+00
   C    1.12986609E-01   -4.21930070E+00   -5.71000202E-01
   H   -7.28397539E-01   -4.91760217E+00   -7.05632378E-01
   H    4.35168049E-01   -3.87804148E+00   -1.57676249E+00
   H    9.57772857E-01   -4.75607234E+00   -1.10684396E-01
   O   -1.31410642E+00   -2.76555704E+00    3.07908116E+00
   H   -7.58797527E-01   -2.85366102E+00    3.84774352E+00
   H   -2.20199678E+00   -2.99197052E+00    3.33861852E+00
15    -28.481900    1744.3510    nw1_s1000_w25
   C   -6.22663350E-01   -3.37203357E-02    3.15170218E-01
   H   -1.53553372E+00    5.91161018E-01    4.47043539E-01
   H    1.61239163E-02    1.59196452E-01    1.18532863E+00
   H   -1.10530861E-01    3.45938784E-01   -5.77029060E-01
   C   -1.01997097E+00   -1.47413814E+00    1.91123168E-01
   O   -2.18637820E+00   -1.85806830E+00    2.34401182E-01
   N    2.04255290E-02   -2.37893674E+00    2.03587413E-02
   H    9.88292295E-01   -2.08748941E+00   -1.83359920E-02
   C   -2.41859476E-01   -3.82594376E+00   -1.14142705E-01
   H    2.47889770E-01   -4.38989081E+00    6.96567541E-01
   H   -1.33178156E+00   -4.02840132E+00   -5.74344444E-02
   H    1.20114755E-01   -4.20107093E+00   -1.08542576E+00
   O   -3.69977040E+00    1.05070722E-01    5.52838179E-01
   H   -3.51080063E+00   -5.48879955E-01    1.23554329E+00
   H   -3.61945805E+00   -3.88665437E-01   -2.71340962E-01
15    -9.650900    1763.1820    nw1_s1000_w27
   C    5.35865630E-01    2.48765471E-01   -4.71844821E-03
   H    1.38852211E+00    3.51581283E-01    6.83126974E-01
   H    8.45753540E-01    6.38258589E-01   -9.85166276E-01
   H   -2.68336588E-01    9.06220027E-01    3.55846266E-01
   C    2.17287962E-02   -1.15705991E+00   -1.50951874E-01
   O   -9.17920437E-01   -1.46160135E+00   -8.71626612E-01
   N    6.95232104E-01   -2.11644181E+00    6.01411059E-01
   H    1.47995251E+00   -1.87527856E+00    1.20586088E+00
   C    2.95561013E-01   -3.53573837E+00    5.53139032E-01
   H   -1.21078300E-02   -3.89054028E+00    1.54970036E+00
   H   -5.64445189E-01   -3.67006432E+00   -1.35455361E-01
   H    1.12275534E+00   -4.16372334E+00    1.85631714E-01
   O    2.83976986E+00   -5.91408641E-01    2.07983764E+00
   H    3.76137674E+00   -6.24150021E-01    1.84202494E+00
   H    2.78988150E+00   -3.90076776E-01    3.00932639E+00
15    -22.247500    1750.5854    nw1_s1000_w29
   C   -4.02302239E-01   -8.46483709E-02    1.87770547E-01
   H    2.74113442E-01    2.39023408E-01    9.89198247E-01
   H    1.01851399E-01    8.13410313E-02   -7.72887447E-01
   H   -1.27336300E+00    5.92811532E-01    2.12302937E-01
   C   -8.61411909E-01   -1.50584985E+00    3.59834997E-01
   O   -2.04051561E+00   -1.81280493E+00    5.02605062E-01
   N    1.44075625E-01   -2.46233238E+00    3.47096740E-01
   H    1.11780759E+00   -2.21142254E+00    2.29421694E-01
   C   -1.42364456E-01   -3.90197129E+00    5.03924164E-01
